vehicle,euroname,euroclass,technology,proportion,sourceCell,userCell,poltype,year,area
B100 Artic HGV,12Euro V EGR + SCRRF,5,EGR + SCRRF,0.0,B318,D318,NOx,2015,England (not London)
Biodiesel Buses,2Euro I,1,Standard,0.0,B353,D353,NOx,2015,England (not London)
Biodiesel Buses,3Euro II,2,Standard,0.012487352175925193,B354,D354,NOx,2015,England (not London)
Biodiesel Buses,4Euro III,3,Standard,0.19696435538301524,B355,D355,NOx,2015,England (not London)
Biodiesel Buses,5Euro IV,4,Standard,0.14784020636813788,B356,D356,NOx,2015,England (not London)
Biodiesel Buses,6Euro V_EGR,5,EGR,0.0958229099814194,B357,D357,NOx,2015,England (not London)
Biodiesel Buses,7Euro V_SCR,5,SCR,0.2874687299442582,B358,D358,NOx,2015,England (not London)
Biodiesel Buses,8Euro VI,6,Standard,0.2594164461472441,B359,D359,NOx,2015,England (not London)
Biodiesel Buses,9Euro II SCRRF,2,SCR,0.0,B360,D360,NOx,2015,England (not London)
Biodiesel Buses,10Euro III SCRRF,3,SCR,0.0,B361,D361,NOx,2015,England (not London)
Biodiesel Buses,11Euro IV SCRRF,4,SCR,0.0,B362,D362,NOx,2015,England (not London)
Biodiesel Buses,12Euro V EGR + SCRRF,5,EGR + SCRRF,0.0,B363,D363,NOx,2015,England (not London)
Biodiesel Coaches,2Euro I,1,Standard,0.0,B367,D367,NOx,2015,England (not London)
Biodiesel Coaches,3Euro II,2,Standard,0.012487352175925193,B368,D368,NOx,2015,England (not London)
Biodiesel Coaches,4Euro III,3,Standard,0.19696435538301524,B369,D369,NOx,2015,England (not London)
Biodiesel Coaches,5Euro IV,4,Standard,0.14784020636813788,B370,D370,NOx,2015,England (not London)
Biodiesel Coaches,6Euro V_EGR,5,EGR,0.0958229099814194,B371,D371,NOx,2015,England (not London)
Biodiesel Coaches,7Euro V_SCR,5,SCR,0.2874687299442582,B372,D372,NOx,2015,England (not London)
Biodiesel Coaches,8Euro VI,6,Standard,0.2594164461472441,B373,D373,NOx,2015,England (not London)
Biodiesel Coaches,9Euro II SCRRF,2,SCR,0.0,B374,D374,NOx,2015,England (not London)
Biodiesel Coaches,10Euro III SCRRF,3,SCR,0.0,B375,D375,NOx,2015,England (not London)
Biodiesel Coaches,11Euro IV SCRRF,4,SCR,0.0,B376,D376,NOx,2015,England (not London)
Biodiesel Coaches,12Euro V EGR + SCRRF,5,EGR + SCRRF,0.0,B377,D377,NOx,2015,England (not London)
Motorcycle - 0-50cc,1_Pre-Euro 1,0,Standard,0.03233279954721731,C177,D177,NOx,2015,England (not London)
Motorcycle - 0-50cc,1Euro 1,1,Standard,0.16131607716133106,C178,D178,NOx,2015,England (not London)
Motorcycle - 0-50cc,1Euro 2,2,Standard,0.08437951803003901,C179,D179,NOx,2015,England (not London)
Motorcycle - 0-50cc,1Euro 3,3,Standard,0.7219716052614127,C180,D180,NOx,2015,England (not London)
Motorcycle - 0-50cc,1Euro 4,4,Standard,0.0,C181,D181,NOx,2015,England (not London)
Motorcycle - 0-50cc,1Euro 5,5,Standard,0.0,C182,D182,NOx,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,2Pre-Euro 1,0,Standard,0.017308110552659132,C183,D183,NOx,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,2Euro 1,1,Standard,0.10984056089313828,C184,D184,NOx,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,2Euro 2,2,Standard,0.0728689228899274,C185,D185,NOx,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,2Euro 3,3,Standard,0.7999824056642753,C186,D186,NOx,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,2Euro 4,4,Standard,0.0,C187,D187,NOx,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,2Euro 5,5,Standard,0.0,C188,D188,NOx,2015,England (not London)
Motorcycle - 4-stroke - 50-150cc,4Pre-Euro 1,0,Standard,0.017308110552659132,C189,D189,NOx,2015,England (not London)
Motorcycle - 4-stroke - 50-150cc,4Euro 1,1,Standard,0.10984056089313828,C190,D190,NOx,2015,England (not London)
Motorcycle - 4-stroke - 50-150cc,4Euro 2,2,Standard,0.0728689228899274,C191,D191,NOx,2015,England (not London)
Motorcycle - 4-stroke - 50-150cc,4Euro 3,3,Standard,0.7999824056642753,C192,D192,NOx,2015,England (not London)
Motorcycle - 4-stroke - 50-150cc,4Euro 4,4,Standard,0.0,C193,D193,NOx,2015,England (not London)
Motorcycle - 4-stroke - 50-150cc,4Euro 5,5,Standard,0.0,C194,D194,NOx,2015,England (not London)
Motorcycle - 4-stroke - 150-250cc,5Pre-Euro 1,0,Standard,0.05376400642357003,C195,D195,NOx,2015,England (not London)
Motorcycle - 4-stroke - 150-250cc,5Euro 1,1,Standard,0.1324030293713469,C196,D196,NOx,2015,England (not London)
Motorcycle - 4-stroke - 150-250cc,5Euro 2,2,Standard,0.07797798870422992,C197,D197,NOx,2015,England (not London)
Motorcycle - 4-stroke - 150-250cc,5Euro 3,3,Standard,0.7358549755008531,C198,D198,NOx,2015,England (not London)
Motorcycle - 4-stroke - 150-250cc,5Euro 4,4,Standard,0.0,C199,D199,NOx,2015,England (not London)
Motorcycle - 4-stroke - 150-250cc,5Euro 5,5,Standard,0.0,C200,D200,NOx,2015,England (not London)
Motorcycle - 4-stroke - 250-750cc,6Pre-Euro 1,0,Standard,0.14152447957057726,C201,D201,NOx,2015,England (not London)
Motorcycle - 4-stroke - 250-750cc,6Euro 1,1,Standard,0.2252846468928297,C202,D202,NOx,2015,England (not London)
Motorcycle - 4-stroke - 250-750cc,6Euro 2,2,Standard,0.09449439897298842,C203,D203,NOx,2015,England (not London)
Motorcycle - 4-stroke - 250-750cc,6Euro 3,3,Standard,0.5386964745636046,C204,D204,NOx,2015,England (not London)
Motorcycle - 4-stroke - 250-750cc,6Euro 4,4,Standard,0.0,C205,D205,NOx,2015,England (not London)
Motorcycle - 4-stroke - 250-750cc,6Euro 5,5,Standard,0.0,C206,D206,NOx,2015,England (not London)
Motorcycle - 4-stroke - >750-cc,7Pre-Euro 1,0,Standard,0.08515667079781714,C207,D207,NOx,2015,England (not London)
Motorcycle - 4-stroke - >750-cc,7Euro 1,1,Standard,0.18913678971607986,C208,D208,NOx,2015,England (not London)
Motorcycle - 4-stroke - >750-cc,7Euro 2,2,Standard,0.10696826435868134,C209,D209,NOx,2015,England (not London)
Motorcycle - 4-stroke - >750-cc,7Euro 3,3,Standard,0.6187382751274216,C210,D210,NOx,2015,England (not London)
Motorcycle - 4-stroke - >750-cc,7Euro 4,4,Standard,0.0,C211,D211,NOx,2015,England (not London)
Motorcycle - 4-stroke - >750-cc,7Euro 5,5,Standard,0.0,C212,D212,NOx,2015,England (not London)
Hybrid Buses - Single Decker,6Euro V_EGR,5,EGR,0.2039594029271926,C325,D325,NOx,2015,England (not London)
Hybrid Buses - Single Decker,7Euro V_SCR,5,SCR,0.611878208781578,C326,D326,NOx,2015,England (not London)
Hybrid Buses - Single Decker,8Euro VI,6,Standard,0.18416238829122955,C327,D327,NOx,2015,England (not London)
Hybrid Buses - Single Decker,5Euro IV,4,Standard,0.0,C328,D328,NOx,2015,England (not London)
Hybrid Buses - Double Decker,6Euro V_EGR,5,EGR,0.2039594029271926,C329,D329,NOx,2015,England (not London)
Hybrid Buses - Double Decker,7Euro V_SCR,5,SCR,0.611878208781578,C330,D330,NOx,2015,England (not London)
Hybrid Buses - Double Decker,8Euro VI,6,Standard,0.18416238829122955,C331,D331,NOx,2015,England (not London)
Hybrid Buses - Double Decker,5Euro IV,4,Standard,0.0,C332,D332,NOx,2015,England (not London)
Hybrid Buses - Articulated,6Euro V_EGR,5,EGR,0.2039594029271926,C333,D333,NOx,2015,England (not London)
Hybrid Buses - Articulated,7Euro V_SCR,5,SCR,0.611878208781578,C334,D334,NOx,2015,England (not London)
Hybrid Buses - Articulated,8Euro VI,6,Standard,0.18416238829122955,C335,D335,NOx,2015,England (not London)
Petrol Car,1Pre-Euro 1,0,Standard,0.0,I69,K69,PM,2015,England (not London)
Petrol Car,2Euro 1,1,Standard,0.0023942653902763312,I70,K70,PM,2015,England (not London)
Petrol Car,3Euro 2,2,Standard,0.0275963249902377,I71,K71,PM,2015,England (not London)
Petrol Car,4Euro 3,3,Standard,0.20633719380576263,I72,K72,PM,2015,England (not London)
Petrol Car,5Euro 4,4,Standard,0.29233056251796086,I73,K73,PM,2015,England (not London)
Petrol Car,6Euro 5,5,Standard,0.39541629817291496,I74,K74,PM,2015,England (not London)
Petrol Car,7Euro 6,6,Standard,0.0759253551228476,I75,K75,PM,2015,England (not London)
Petrol Car,7Euro 6c,6,c,0.0,I76,K76,PM,2015,England (not London)
Diesel Car,1Pre-Euro 1,0,Standard,0.0,I79,K79,PM,2015,England (not London)
Diesel Car,2Euro 1,1,Standard,0.0007249030928131902,I80,K80,PM,2015,England (not London)
Diesel Car,3Euro 2,2,Standard,0.006065642417442237,I81,K81,PM,2015,England (not London)
Diesel Car,4Euro 3,3,Standard,0.09622257649800982,I82,K82,PM,2015,England (not London)
Diesel Car,5Euro 4,4,Standard,0.2164612956063124,I83,K83,PM,2015,England (not London)
Diesel Car,6Euro 5,5,Standard,0.5131618039112721,I84,K84,PM,2015,England (not London)
Diesel Car,7Euro 6,6,Standard,0.09340728751230504,I85,K85,PM,2015,England (not London)
Diesel Car,8Euro 3 DPF,3,DPF,0.019841167060267235,I86,K86,PM,2015,England (not London)
Diesel Car,9Euro 4 DPF,4,DPF,0.0541153239015781,I87,K87,PM,2015,England (not London)
Petrol LGV,1Pre-Euro 1,0,Standard,0.0,I91,K91,PM,2015,England (not London)
Petrol LGV,2Euro 1,1,Standard,0.011367861026628616,I92,K92,PM,2015,England (not London)
Petrol LGV,3Euro 2,2,Standard,0.06978731990943186,I93,K93,PM,2015,England (not London)
Petrol LGV,4Euro 3,3,Standard,0.2511511389471799,I94,K94,PM,2015,England (not London)
Petrol LGV,5Euro 4,4,Standard,0.3128231196285651,I95,K95,PM,2015,England (not London)
Petrol LGV,6Euro 5,5,Standard,0.35487056048819443,I96,K96,PM,2015,England (not London)
Petrol LGV,7Euro 6,6,Standard,0.0,I97,K97,PM,2015,England (not London)
Petrol LGV,7Euro 6c,6,c,0.0,I98,K98,PM,2015,England (not London)
