,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
31,2013,1,7.0,25,4. LGV,1.55851303134e-05,1.32174568535e-06,1.06415029677e-06
32,2013,1,7.0,25,5. Buses and Coaches,0.000116317321954,5.76579213885e-06,4.8941951718e-06
33,2013,1,7.0,25,6. Rigid HGVs,8.94343684195e-05,5.18555589224e-06,4.35847778135e-06
34,2013,1,7.0,25,7. Articulated HGVs,0.000158568713232,8.52888115332e-06,7.46682781028e-06
35,2013,1,7.0,30,1. Motorcycles,2.23001347877e-06,3.72371033563e-07,2.91472616709e-07
36,2013,1,7.0,30,2. Petrol Cars,7.28320719645e-06,3.50365809254e-07,1.97624984821e-07
37,2013,1,7.0,30,3. Diesel Cars,8.07323158369e-06,9.13904727895e-07,7.32986961793e-07
38,2013,1,7.0,30,4. LGV,1.45229760165e-05,1.21851167023e-06,9.66078005149e-07
39,2013,1,7.0,30,5. Buses and Coaches,0.000105288054328,5.20286084793e-06,4.35941046817e-06
40,2013,1,7.0,30,6. Rigid HGVs,8.19686392788e-05,4.67632844448e-06,3.87471163776e-06
41,2013,1,7.0,30,7. Articulated HGVs,0.000145003868965,7.46192745282e-06,6.45322188575e-06
42,2013,1,7.0,35,1. Motorcycles,2.31859166888e-06,3.72371033563e-07,2.91472616709e-07
43,2013,1,7.0,35,2. Petrol Cars,6.70791814628e-06,3.50362540757e-07,1.97621886855e-07
44,2013,1,7.0,35,3. Diesel Cars,7.48507000026e-06,8.743695048e-07,6.95428525432e-07
45,2013,1,7.0,35,4. LGV,1.3608106201e-05,1.1346168094e-06,8.86377847564e-07
46,2013,1,7.0,35,5. Buses and Coaches,9.71992994891e-05,4.79415530208e-06,3.97114035877e-06
47,2013,1,7.0,35,6. Rigid HGVs,7.66198063502e-05,4.31131320511e-06,3.52794722858e-06
48,2013,1,7.0,35,7. Articulated HGVs,0.000134514484671,6.6636853262e-06,5.69489202462e-06
49,2013,1,7.0,40,1. Motorcycles,2.44060424848e-06,3.72371033563e-07,2.91472616709e-07
50,2013,1,7.0,40,2. Petrol Cars,6.25463235338e-06,3.50360522816e-07,1.97619954179e-07
51,2013,1,7.0,40,3. Diesel Cars,7.07812705514e-06,8.45191436838e-07,6.67709343816e-07
52,2013,1,7.0,40,4. LGV,1.28355804918e-05,1.07006110284e-06,8.25049880859e-07
53,2013,1,7.0,40,5. Buses and Coaches,9.09863229026e-05,4.48876653536e-06,3.68102087123e-06
54,2013,1,7.0,40,6. Rigid HGVs,7.26873840904e-05,4.0396625991e-06,3.26987901644e-06
55,2013,1,7.0,40,7. Articulated HGVs,0.000126102167997,6.08662912782e-06,5.14668863616e-06
56,2013,1,7.0,45,1. Motorcycles,2.58962973021e-06,3.72371033563e-07,2.91472616709e-07
57,2013,1,7.0,45,2. Petrol Cars,5.91782691117e-06,3.50359186996e-07,1.97618703623e-07
58,2013,1,7.0,45,3. Diesel Cars,6.80317043589e-06,8.26370467166e-07,6.49829416943e-07
59,2013,1,7.0,45,4. LGV,1.22023293443e-05,1.02484443687e-06,7.82094105034e-07
60,2013,1,7.0,45,5. Buses and Coaches,8.60509608174e-05,4.25547159466e-06,3.4593908822e-06
61,2013,1,7.0,45,6. Rigid HGVs,6.97532159393e-05,3.83204860555e-06,3.07264576804e-06
62,2013,1,7.0,45,7. Articulated HGVs,0.000119169439131,5.68910036236e-06,4.76903596791e-06
63,2013,1,7.0,50,1. Motorcycles,2.76180981018e-06,3.72371033563e-07,2.91472616709e-07
64,2013,1,7.0,50,2. Petrol Cars,5.69197982259e-06,3.50358163814e-07,1.97617723074e-07
65,2013,1,7.0,50,3. Diesel Cars,6.62850970912e-06,8.17906425254e-07,6.41788574285e-07
66,2013,1,7.0,50,4. LGV,1.17063327707e-05,9.98966925181e-07,7.57510463245e-07
67,2013,1,7.0,50,5. Buses and Coaches,8.20296845632e-05,4.07402649216e-06,3.28701798935e-06
68,2013,1,7.0,50,6. Rigid HGVs,6.75515402691e-05,3.67037000615e-06,2.9190512123e-06
